ticker,cnpj,company_name,sector,industry,market_cap,revenue,operating_income,net_income,equity,total_cash,total_debt,roe,operating_margin,profit_margin,debt_to_equity,revenue_growth,earnings_growth,earnings_yield,book_to_price,sales_yield,ev_to_ebit,raw_pe,raw_pb,raw_ev_ebitda,enterprise_value,ebitda,fcf,beta,trailing_eps,book_value_per_share,fundamental_source,price,avg_daily_volume_brl,pe,pb,ev_ebitda,fcf_yield,fcf_margin,debt_to_ebitda,ret_3m,ret_6m,ret_12m,price_to_ma50,price_to_ma200,volatility,max_drawdown,history_days,last_price_date,model_group,__quality_roe,__quality_operating_margin,__quality_profit_margin,__quality_debt_to_equity,quality_score,quality_coverage,__growth_revenue_growth,__growth_earnings_growth,growth_score,growth_coverage,__valuation_earnings_yield,__valuation_book_to_price,__valuation_sales_yield,__valuation_ev_to_ebit,valuation_score,valuation_coverage,__momentum_ret_3m,__momentum_ret_6m,__momentum_ret_12m,__momentum_price_to_ma50,__momentum_price_to_ma200,momentum_score,momentum_coverage,__risk_volatility,__risk_max_drawdown,risk_score,risk_coverage,__weighted_quality,__weighted_growth,__weighted_valuation,__weighted_momentum,__weighted_risk,score,data_coverage,has_quality,has_valuation,has_momentum,n_components,data_quality,signal,entry_watch_low,entry_watch_high,max_position_pct,in_portfolio,action
VTRU3,,Vitru Educação S.A.,Consumer Defensive,Education & Training Services,2069136640.0,2292422912.0,734963968.0,1114866048.0,4537763175.132,989596032.0,2818420992.0,0.35219002,0.29665002,0.48633,0.62110358853578,0.061,15.147,0.6062992307396621,2.193070948476868,1.107912772739842,4.7250630713912765,1.6493506,0.4559816,4.725,3472751104.0,734963968.0,253856256.0,0.425,7.7,27.852,Yahoo Finance,12.699999809265137,7452656.221405665,1.649350624579888,0.45598161027090106,4.7250630713912765,0.12268704303646182,0.11073709596565051,2.4883192096840316,-0.05223879322333247,-0.15794188478305216,,0.9838402123955912,0.9263453756890794,0.3854115777157398,-0.2882058453173313,250,2026-08-14 00:00:00+00:00,general,100.0,100.0,100.0,66.66666666666667,91.66666666666667,1.0,80.0,100.0,90.0,1.0,93.33333333333333,86.66666666666667,20.0,57.142857142857146,64.28571428571429,1.0,80.0,60.0,,86.66666666666667,80.0,76.66666666666667,0.8,66.66666666666667,80.0,73.33333333333334,1.0,22.916666666666668,18.0,12.85714285714286,15.333333333333336,11.000000000000002,80.10714285714286,0.96,True,True,True,5,OK,FORTE_CANDIDATA,12.205454721519684,12.699999809265137,5.0,False,AGUARDAR_FAIXA_DE_ENTRADA
JHSF3,,JHSF Participações S.A.,Real Estate,Real Estate - Development,7213825024.0,4052741888.0,2056057984.0,2131408000.0,7061815156.352,4291578112.0,6272048128.0,0.29331,0.48143002,0.52592,0.8881637354042584,0.885,0.866,0.2920517844028167,0.9789279877077972,0.5618020778874938,4.802763227907098,3.4240503,1.0215256,4.803,9874759680.0,2056057984.0,1786585728.0,,3.16,10.592,Yahoo Finance,10.819999694824219,43931705.39424896,3.424050536336778,1.0215256509463952,4.802763227907098,0.24766136162938904,0.44083382987947145,0.9632364609421443,0.02745679540947754,0.15858595554611532,,0.9998819892363037,1.1486799594998909,0.3901522149161332,-0.2793894242963958,249,2026-08-14 00:00:00+00:00,general,76.47058823529412,82.35294117647058,94.11764705882352,35.294117647058826,72.05882352941177,1.0,100.0,87.5,93.75,1.0,94.11764705882352,47.05882352941176,29.411764705882355,88.23529411764706,64.70588235294117,1.0,88.23529411764706,100.0,,88.23529411764706,94.11764705882352,92.64705882352942,0.8,35.294117647058826,76.47058823529412,55.88235294117647,1.0,18.014705882352942,18.75,12.941176470588236,18.529411764705884,8.382352941176471,76.61764705882354,0.96,True,True,True,5,OK,WATCHLIST,10.39348033703226,10.819999694824219,5.0,False,AGUARDAR
SEER3,,Ser Educacional S.A.,Consumer Defensive,Education & Training Services,1443016192.0,2260304896.0,610540032.0,246706000.0,1418432326.6599998,527616992.0,1637784960.0,0.18484,0.23247999,0.10915,1.154644412156421,0.081,0.726,0.6459627008217291,0.9829635702888252,1.5663752829185162,4.102862483552921,1.548077,1.0173317,4.103,2504961792.0,610540032.0,337627488.0,0.173,7.28,11.078,Yahoo Finance,11.270000457763672,7760353.265209198,1.5480769859565482,1.0173316896338394,4.102862483552921,0.23397345772818604,0.14937254199532557,1.8183377171245014,-0.035928069948301666,-0.05249864358626566,,0.9780779006660232,1.014870359130788,0.5151285810730449,-0.2502187799422342,250,2026-08-14 00:00:00+00:00,general,86.66666666666667,73.33333333333333,86.66666666666667,53.333333333333336,75.0,1.0,93.33333333333333,85.71428571428571,89.52380952380952,1.0,100.0,40.0,33.33333333333333,85.71428571428572,64.76190476190476,1.0,86.66666666666667,100.0,,66.66666666666666,100.0,88.33333333333334,0.8,13.333333333333329,86.66666666666667,50.0,1.0,18.75,17.904761904761905,12.952380952380953,17.666666666666668,7.5,74.77380952380953,0.96,True,True,True,5,OK,WATCHLIST,10.683434301131363,11.270000457763672,5.0,False,AGUARDAR
PETR4,,Petróleo Brasileiro S.A. - Petrobras,Energy,Oil & Gas Integrated,575096094720.0,548493000704.0,243035996160.0,133376000000.0,188127604132.03897,53764001792.0,366532984832.0,0.30274,0.44679,0.24317,1.9483211223736503,0.423,0.968,0.244713712731111,0.8206462112939137,0.953741480319124,3.522769308347052,4.0864077,1.2185519,3.523,856159748096.0,243035996160.0,94240129024.0,-0.218,10.3,34.541,Yahoo Finance,42.09000015258789,1624547385.1394334,4.086407781804649,1.2185518703160851,3.522769308347052,0.16386849065612796,0.17181646603154682,1.2869245213951437,-0.048932112713400366,0.16296317142386152,,1.0424354709133816,1.1059304134598118,0.2512696695565815,-0.22161772443690164,249,2026-08-14 00:00:00+00:00,general,92.85714285714286,92.85714285714286,92.85714285714286,14.285714285714292,73.21428571428571,1.0,78.57142857142857,64.28571428571429,71.42857142857143,1.0,100.0,71.42857142857143,42.857142857142854,57.142857142857146,67.85714285714286,1.0,57.14285714285714,71.42857142857143,,85.71428571428571,71.42857142857143,71.42857142857143,0.8,85.71428571428572,100.0,92.85714285714286,1.0,18.303571428571427,14.285714285714286,13.571428571428573,14.285714285714286,13.928571428571429,74.375,0.96,True,True,True,5,OK,WATCHLIST,41.02144629310625,42.09000015258789,5.0,False,AGUARDAR
CBAV3,,Companhia Brasileira de Alumínio,Basic Materials,Aluminum,7207374848.0,9321967616.0,1491926016.0,597929984.0,5064043437.266,1810013952.0,4716751872.0,0.14575,0.16893,0.06414,0.9314201053825286,0.281,,0.0831075025464138,0.7026196682496922,1.2933929221936868,6.931510770035396,12.032608,1.4232451,6.932,10341301248.0,1491926016.0,598254848.0,1.013,0.92,7.778,Yahoo Finance,11.069999694824219,28183278.2730484,12.032608363939367,1.4232450109056594,6.931510770035396,0.08300592942880054,0.06417688546494946,1.9483123752967655,0.04730369105354226,0.09198344753261445,,1.020633927617577,1.1978109896371323,0.3730822270773015,-0.1520572450805009,249,2026-08-14 00:00:00+00:00,general,83.33333333333334,72.22222222222221,77.77777777777779,61.11111111111111,73.6111111111111,1.0,94.44444444444444,,94.44444444444444,0.5,77.77777777777779,27.77777777777778,38.88888888888889,33.33333333333334,44.44444444444445,1.0,77.77777777777779,88.88888888888889,,77.77777777777779,100.0,86.11111111111111,0.8,44.44444444444444,100.0,72.22222222222223,1.0,18.402777777777775,18.88888888888889,8.888888888888891,17.222222222222225,10.833333333333334,74.23611111111111,0.86,True,True,True,5,OK,WATCHLIST,10.6527177529075,11.069999694824219,5.0,False,AGUARDAR
MILS3,,"Mills Locação, Serviços e Logística S.A.",Industrials,Rental & Leasing Services,3554190848.0,1908754048.0,955825024.0,449044992.0,1885999429.998,642121024.0,1862545024.0,0.26255,0.43065,0.23526,0.987563937918038,0.049,0.213,0.120512810933597,0.530640988312473,0.5370432060715272,4.99872311357272,8.297873,1.8845133,4.999,4777904640.0,955825024.0,537975360.0,0.012,1.88,8.278,Yahoo Finance,15.600000381469727,17029896.41643524,8.297872543334961,1.8845132135141007,4.99872311357272,0.15136366700812573,0.28184634922644575,1.27682783915061,0.22931449151383898,0.13629998712111657,,1.0105721625667607,1.1614900158215962,0.2753543287361122,-0.15025577302473347,250,2026-08-14 00:00:00+00:00,general,88.46153846153845,92.3076923076923,96.15384615384616,73.07692307692308,87.5,1.0,44.230769230769226,55.55555555555556,49.89316239316239,1.0,69.23076923076923,19.230769230769234,19.230769230769234,76.92307692307692,46.153846153846146,1.0,96.15384615384616,92.3076923076923,,73.07692307692307,96.15384615384616,89.42307692307693,0.8,92.3076923076923,100.0,96.15384615384616,1.0,21.875,9.978632478632479,9.23076923076923,17.884615384615387,14.423076923076923,73.39209401709401,0.96,True,True,True,5,OK,WATCHLIST,15.165996175272918,15.600000381469727,5.0,False,AGUARDAR
VBBR3,,Vibra Energia S.A.,Consumer Cyclical,Specialty Retail,40084103168.0,203974000640.0,10622999552.0,5056999936.0,21737275570.206,5895000064.0,21926000640.0,0.22621,0.06948,0.02479,1.00868209399952,0.258,6.854,0.076488095010452,0.5422917030454018,5.088650724829908,5.291716819983916,13.07393,1.844026,5.292,56213905408.0,10622999552.0,,0.145,2.57,18.221,Yahoo Finance,33.599998474121094,282357643.17727405,13.073929367362295,1.8440260399605453,5.2917168199839155,,,1.5090841807464663,0.022518172314696994,0.08742632928282768,,1.058542174843536,1.165763695995288,0.28298560826722186,-0.18362576492978833,249,2026-08-14 00:00:00+00:00,general,81.81818181818183,31.818181818181817,22.727272727272727,36.36363636363637,43.18181818181819,1.0,100.0,100.0,100.0,1.0,36.36363636363637,27.27272727272727,81.81818181818183,63.63636363636363,52.27272727272727,1.0,90.9090909090909,100.0,,95.45454545454545,100.0,96.5909090909091,0.8,68.18181818181819,95.45454545454545,81.81818181818181,1.0,10.795454545454547,20.0,10.454545454545455,19.31818181818182,12.272727272727272,72.8409090909091,0.96,True,True,True,5,OK,WATCHLIST,32.6393134331427,33.599998474121094,5.0,False,AGUARDAR
PETR3,,Petróleo Brasileiro S.A. - Petrobras,Energy,Oil & Gas Integrated,603579351040.0,548493000704.0,243035996160.0,133376000000.0,257062114165.662,53764001792.0,366532984832.0,0.30274,0.44679,0.24317,1.4258537708741874,0.423,0.968,0.2199444675410573,0.7375827392657556,0.9087338719572112,3.774141922401229,4.5466022,1.3557801,3.774,917252341760.0,243035996160.0,94240129024.0,-0.218,10.3,34.541,Yahoo Finance,46.83000183105469,486726375.23101807,4.546602119519872,1.3557801404433771,3.7741419224012285,0.15613544244285218,0.17181646603154682,1.2869245213951437,-0.03738666584699002,0.2138065531413198,,1.0367225603695025,1.1232771010672724,0.2829849389642605,-0.22903733365405698,249,2026-08-14 00:00:00+00:00,general,92.85714285714286,92.85714285714286,92.85714285714286,42.85714285714286,80.35714285714286,1.0,78.57142857142857,64.28571428571429,71.42857142857143,1.0,85.71428571428571,57.14285714285714,28.57142857142857,42.85714285714286,53.57142857142856,1.0,71.42857142857143,100.0,,71.42857142857143,85.71428571428571,82.14285714285715,0.8,71.42857142857143,71.42857142857143,71.42857142857143,1.0,20.089285714285715,14.285714285714286,10.714285714285714,16.42857142857143,10.714285714285714,72.23214285714286,0.96,True,True,True,5,OK,WATCHLIST,45.491050108858865,46.83000183105469,5.0,False,AGUARDAR
TAEE3,,Transmissora Aliança de Energia Elétrica S.A.,Utilities,Utilities - Regulated Electric,12856698880.0,4678574080.0,2324641024.0,1568348032.0,13647857850.176,1603660032.0,11855298560.0,0.20559,0.58442,0.33521998,0.8686563627893529,0.055,-0.032,0.1270096514888185,1.857234875171344,0.3639016612015416,6.297985304762478,7.8734174,0.53843486,6.298,14640555008.0,2324641024.0,851601280.0,-0.004,1.58,23.104,Yahoo Finance,12.4399995803833,1361246.9540834427,7.873417455938798,0.5384348848850113,6.297985304762478,0.06623794241029934,0.18202154447878274,4.409987788290877,-0.024313758401309782,-0.07060020857601235,,0.9424242119968649,0.934202193149006,0.22187594859105866,-0.13774084178689983,250,2026-08-14 00:00:00+00:00,general,78.94736842105263,94.73684210526315,94.73684210526315,73.6842105263158,85.52631578947368,1.0,31.57894736842105,61.53846153846154,46.558704453441294,1.0,78.94736842105263,89.47368421052632,26.31578947368421,68.42105263157895,65.78947368421053,1.0,78.94736842105263,78.94736842105263,,68.42105263157895,68.42105263157895,73.6842105263158,0.8,78.94736842105263,94.73684210526315,86.84210526315789,1.0,21.38157894736842,9.31174089068826,13.157894736842108,14.73684210526316,13.026315789473683,71.61437246963563,0.96,True,True,True,5,OK,WATCHLIST,12.161125587958267,12.4399995803833,5.0,False,AGUARDAR
BBSE3,,BB Seguridade Participações S.A.,Financial Services,Insurance - Diversified,71729135616.0,10450822144.0,9979697152.0,9189316608.0,10890404331.84,6470633984.0,0.0,0.85944,0.964,0.87929,0.0,-0.009,-0.001,0.1280108209083043,0.1518267874985216,0.1456984258105129,6.539126298328777,7.8118396,6.586453,6.539,65258500096.0,9979697152.0,5830927872.0,0.08,4.73,5.61,Yahoo Finance,36.95000076293945,233311727.06739426,7.811839484765211,6.586452898919688,6.539126298328777,0.08129092623136734,0.5579396330409888,-0.6483797940404675,0.12616478254040286,0.11642492611316646,,0.985095721782348,1.1071505701536752,0.1849343184484118,-0.0880658257217376,249,2026-08-14 00:00:00+00:00,financial,100.0,,,,100.0,1.0,,26.31578947368421,26.31578947368421,1.0,66.66666666666666,4.761904761904762,,,35.71428571428571,1.0,90.47619047619048,100.0,,85.71428571428571,100.0,94.04761904761905,0.8,95.23809523809524,100.0,97.61904761904762,1.0,25.0,5.2631578947368425,7.142857142857142,18.80952380952381,14.642857142857142,70.85839598997494,0.96,True,True,True,5,OK,WATCHLIST,36.25958708908371,36.95000076293945,5.0,False,AGUARDAR
